0.000000e+00	0.000000e+00	1.414692e-18	0.000000e+00	4.999659e-01	3.191060e-01	0.000000e+00	-nan	-nan
4.785221e+04	9.224497e-04	5.935650e-04	3.263116e-04	4.999659e-01	1.887230e-01	9.804907e-04	4.608509e-04	1.441342e-03
9.560882e+04	1.350012e-03	7.465717e-04	4.746488e-04	4.999659e-01	1.423165e-01	1.633430e-03	5.599581e-04	2.193388e-03
1.434132e+05	1.789675e-03	8.694644e-04	5.118067e-04	4.999659e-01	1.398321e-01	3.409028e-03	6.317191e-04	4.040747e-03
1.912654e+05	1.807818e-03	9.700129e-04	5.979830e-04	4.999659e-01	1.134811e-01	3.853550e-04	6.661492e-04	1.051504e-03
2.390698e+05	1.528564e-03	8.427795e-04	6.466505e-04	4.999659e-01	1.183301e-01	3.578693e-04	6.782871e-04	1.036156e-03
2.868743e+05	1.681270e-03	8.193048e-04	5.644768e-04	4.999659e-01	1.225055e-01	9.199652e-04	6.711324e-04	1.591098e-03
3.346309e+05	1.281509e-03	8.188236e-04	4.973122e-04	4.999659e-01	1.432272e-01	1.418100e-03	6.674819e-04	2.085582e-03
3.824353e+05	1.422295e-03	8.436452e-04	4.751012e-04	4.999659e-01	1.353559e-01	5.174317e-04	6.590020e-04	1.176434e-03
4.302397e+05	1.495608e-03	8.610283e-04	5.381811e-04	4.999659e-01	1.353106e-01	9.002550e-04	6.575016e-04	1.557757e-03
0.000000e+00	0.000000e+00	1.521009e-18	0.000000e+00	5.315133e-01	3.700183e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	-nan	-nan	-nan	1.306363e-01	1.126702e-01	-nan	0.000000e+00	-nan	-nan
9.560882e+04	6.025540e-08	2.157524e-08	4.628943e-09	1.107770e-01	1.006106e-01	4.740297e-15	0.000000e+00	-0.000000e+00	4.740297e-15
1.434132e+05	5.549668e-08	1.986189e-08	7.583614e-09	1.010688e-01	9.435194e-02	-8.795045e-13	0.000000e+00	-0.000000e+00	-8.795045e-13
1.912654e+05	8.029336e-08	2.367118e-08	9.747444e-07	9.754401e-02	9.218751e-02	-7.866102e-13	0.000000e+00	-0.000000e+00	-7.866102e-13
2.390698e+05	6.591022e-08	2.248388e-08	9.892429e-07	9.466825e-02	9.056787e-02	-9.629101e-13	0.000000e+00	-0.000000e+00	-9.629101e-13
2.868743e+05	7.070138e-08	2.122484e-08	9.802201e-07	9.301447e-02	8.961740e-02	-1.153657e-12	0.000000e+00	-0.000000e+00	-1.153657e-12
3.346309e+05	8.335619e-08	2.356650e-08	1.975537e-08	9.215091e-02	8.909018e-02	1.960456e-13	0.000000e+00	-0.000000e+00	1.960456e-13
3.824353e+05	9.481229e-08	2.121778e-08	2.312588e-08	9.128734e-02	8.852435e-02	7.602884e-13	0.000000e+00	-0.000000e+00	7.602884e-13
0.000000e+00	0.000000e+00	1.513979e-18	0.000000e+00	5.328087e-01	3.737051e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.222886e-08	2.327006e-08	9.039501e-07	1.270297e-01	1.107646e-01	7.853954e-14	0.000000e+00	-0.000000e+00	7.853954e-14
9.560882e+04	6.401779e-08	2.449340e-08	4.272726e-09	1.098540e-01	9.973815e-02	-8.211147e-13	0.000000e+00	-0.000000e+00	-8.211147e-13
1.434132e+05	3.935719e-08	1.679392e-08	6.284141e-09	1.025277e-01	9.543743e-02	-4.649753e-13	0.000000e+00	-0.000000e+00	-4.649753e-13
1.912654e+05	5.514651e-08	2.105347e-08	9.480361e-07	9.849770e-02	9.274190e-02	9.984164e-13	0.000000e+00	-0.000000e+00	9.984164e-13
2.390698e+05	3.694253e-08	2.183200e-08	9.806173e-07	9.526072e-02	9.082863e-02	-2.914688e-14	0.000000e+00	-0.000000e+00	-2.914688e-14
2.868743e+05	3.742192e-08	1.863765e-08	9.091072e-07	9.324573e-02	8.992982e-02	-4.914812e-13	0.000000e+00	-0.000000e+00	-4.914812e-13
3.346309e+05	5.231659e-08	2.007945e-08	1.314459e-08	9.209431e-02	8.927082e-02	5.283896e-13	0.000000e+00	-0.000000e+00	5.283896e-13
3.824353e+05	4.388664e-08	1.999228e-08	1.590543e-08	9.094288e-02	8.841662e-02	-8.536411e-13	0.000000e+00	-0.000000e+00	-8.536411e-13
0.000000e+00	0.000000e+00	1.526133e-18	0.000000e+00	5.316572e-01	3.710912e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.107058e-08	2.200551e-08	9.245290e-07	1.276676e-01	1.103783e-01	-6.724249e-13	0.000000e+00	-0.000000e+00	-6.724249e-13
9.560882e+04	6.719860e-08	2.416709e-08	4.402842e-09	1.092050e-01	9.918936e-02	-4.238761e-13	0.000000e+00	-0.000000e+00	-4.238761e-13
1.434132e+05	5.313104e-08	2.276430e-08	6.693110e-09	1.030217e-01	9.556096e-02	-6.709939e-13	0.000000e+00	-0.000000e+00	-6.709939e-13
1.912654e+05	5.827388e-08	2.762623e-08	9.449107e-07	9.942625e-02	9.354039e-02	-1.742817e-12	0.000000e+00	-0.000000e+00	-1.742817e-12
2.390698e+05	6.342414e-08	2.148297e-08	9.428569e-07	9.712340e-02	9.193522e-02	-5.241693e-13	0.000000e+00	-0.000000e+00	-5.241693e-13
2.868743e+05	5.373839e-08	2.904634e-08	9.423363e-07	9.554299e-02	9.101606e-02	-5.365720e-13	0.000000e+00	-0.000000e+00	-5.365720e-13
3.346309e+05	6.114445e-08	2.697439e-08	1.500850e-08	9.453549e-02	9.056965e-02	3.552744e-13	0.000000e+00	-0.000000e+00	3.552744e-13
3.824353e+05	3.599463e-08	1.913781e-08	1.800766e-08	9.295229e-02	8.948405e-02	6.288219e-13	0.000000e+00	-0.000000e+00	6.288219e-13
0.000000e+00	0.000000e+00	1.502547e-18	0.000000e+00	5.300021e-01	3.702451e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	-nan	-nan	-nan	1.290541e-01	1.115123e-01	-nan	0.000000e+00	-nan	-nan
9.560882e+04	5.461884e-08	2.546510e-08	4.586824e-09	1.103319e-01	9.970823e-02	1.593587e-12	0.000000e+00	-0.000000e+00	1.593587e-12
1.434132e+05	4.323828e-08	2.027429e-08	6.736314e-09	1.024920e-01	9.532063e-02	-6.193276e-13	0.000000e+00	-0.000000e+00	-6.193276e-13
1.912654e+05	6.957955e-08	2.249577e-08	9.350359e-07	9.918169e-02	9.303457e-02	1.346064e-12	0.000000e+00	-0.000000e+00	1.346064e-12
2.390698e+05	6.042885e-08	2.169015e-08	9.669549e-07	9.659099e-02	9.135976e-02	9.968374e-13	0.000000e+00	-0.000000e+00	9.968374e-13
2.868743e+05	6.207233e-08	2.773980e-08	9.680620e-07	9.536900e-02	9.065690e-02	-1.168998e-12	0.000000e+00	-0.000000e+00	-1.168998e-12
3.346309e+05	7.242677e-08	2.585272e-08	1.561470e-08	9.378579e-02	8.969682e-02	5.754352e-13	0.000000e+00	-0.000000e+00	5.754352e-13
3.824353e+05	5.367752e-08	2.159566e-08	1.817852e-08	9.313951e-02	8.933738e-02	-2.179727e-13	0.000000e+00	-0.000000e+00	-2.179727e-13
0.000000e+00	0.000000e+00	1.518916e-18	0.000000e+00	5.300021e-01	3.668357e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	5.705109e-08	2.113670e-08	8.923104e-07	1.291110e-01	1.123456e-01	-5.248545e-13	0.000000e+00	-0.000000e+00	-5.248545e-13
9.560882e+04	5.186925e-08	2.683911e-08	4.162696e-09	1.094209e-01	1.005647e-01	3.053890e-13	0.000000e+00	-0.000000e+00	3.053890e-13
1.434132e+05	3.593381e-08	2.045545e-08	6.175416e-09	1.014370e-01	9.539084e-02	-2.829699e-13	0.000000e+00	-0.000000e+00	-2.829699e-13
1.912654e+05	3.897068e-08	2.096954e-08	8.542421e-07	9.762436e-02	9.301378e-02	-5.996444e-13	0.000000e+00	-0.000000e+00	-5.996444e-13
2.390698e+05	4.556983e-08	1.721397e-08	8.372414e-07	9.532151e-02	9.165740e-02	-1.036329e-12	0.000000e+00	-0.000000e+00	-1.036329e-12
2.868743e+05	4.932717e-08	1.782250e-08	8.370150e-07	9.330652e-02	9.044788e-02	-1.025534e-12	0.000000e+00	-0.000000e+00	-1.025534e-12
3.346309e+05	5.541162e-08	2.235980e-08	1.338796e-08	9.244295e-02	8.995447e-02	5.718222e-13	0.000000e+00	-0.000000e+00	5.718222e-13
3.824353e+05	6.320131e-08	1.541991e-08	1.520246e-08	9.143546e-02	8.936251e-02	9.640609e-14	0.000000e+00	-0.000000e+00	9.640609e-14
0.000000e+00	0.000000e+00	1.514304e-18	0.000000e+00	5.308656e-01	3.715519e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	5.455945e-08	2.305191e-08	9.235312e-07	1.291446e-01	1.114933e-01	-5.131684e-14	0.000000e+00	-0.000000e+00	-5.131684e-14
9.560882e+04	4.555786e-08	2.327274e-08	4.442666e-09	1.110998e-01	1.002176e-01	2.247792e-13	0.000000e+00	-0.000000e+00	2.247792e-13
